energy_center,vFv_sensitivity_at_energy_center,Ndet_bkg,Ndet_source
0.7,6.165753352670518e-11,1416,9308
1,6.131316835246402e-11,980,7787
2,7.868442408907417e-11,454,4130
4,1.6580114647182908e-10,164,1178
6,3.458106580516769e-10,79,392
